# 100 Random Parameter vector samples from Bayesian Sampling.
# Parametrization of the BK Initial Condition is defined in Equation (10, 11)
# Set-up: 4-parameter case, gamma = 1, with correlated systematic uncertainties consideration
# Q_{s,0}^2              e_c                      C^2                      sigma0/2
6.355022264894541473e-02 2.833719624102231194e+01 4.570565118269553473e+00 1.420562125586995350e+01
6.149398703966828944e-02 3.026094484288545416e+01 5.322324095449722847e+00 1.448217573781132650e+01
7.270010473437252263e-02 1.710069243518667648e+01 4.575401294616305847e+00 1.383899952800892663e+01
5.598189099906782790e-02 3.829691803383811077e+01 6.447258004473450654e+00 1.471189040657142577e+01
5.736313334763228772e-02 4.812936216251632260e+01 4.108544088113299075e+00 1.400592263946474603e+01
6.502269415028111288e-02 2.617074340930683718e+01 4.503201090689540997e+00 1.405236732648599940e+01
6.197624534412615044e-02 3.736837580590704277e+01 4.250881685685973466e+00 1.375509287350798537e+01
7.408311790661334384e-02 1.336115332325900695e+01 5.121040560422867038e+00 1.410539327533105869e+01
5.847215027319833253e-02 4.846786254801721583e+01 4.312364304799561232e+00 1.374079511274419652e+01
5.354107727142761591e-02 5.814037592572741175e+01 5.339319886055270636e+00 1.446446622303295548e+01
5.765471543598923304e-02 5.854255661392729593e+01 4.147795222293547468e+00 1.360938667560641058e+01
7.322097065490904000e-02 1.876857072095117474e+01 3.501511435119766702e+00 1.357540578438431744e+01
5.587351472138060021e-02 4.411912686255644900e+01 6.491900078685395314e+00 1.452102035283923165e+01
5.614007977580668524e-02 4.292071191957246157e+01 5.534369532580067030e+00 1.463056946542665315e+01
5.423643480539246803e-02 5.811457911924369313e+01 5.369405227375677825e+00 1.441158370632545882e+01
7.118690840072688930e-02 1.332757843480736604e+01 5.816890952435898043e+00 1.474004497587427487e+01
5.879333946985704912e-02 3.942597957463863168e+01 5.893092921694306874e+00 1.430792794752667518e+01
