0.000000000000000000e+00 0.000000000000000000e+00
1.515151515151515138e+00 0.000000000000000000e+00
3.030303030303030276e+00 0.000000000000000000e+00
4.545454545454544970e+00 0.000000000000000000e+00
6.060606060606060552e+00 0.000000000000000000e+00
7.575757575757576134e+00 0.000000000000000000e+00
9.090909090909089940e+00 0.000000000000000000e+00
1.060606060606060552e+01 0.000000000000000000e+00
1.212121212121212110e+01 0.000000000000000000e+00
1.363636363636363669e+01 0.000000000000000000e+00
1.515151515151515227e+01 0.000000000000000000e+00
1.666666666666666785e+01 0.000000000000000000e+00
1.818181818181817988e+01 0.000000000000000000e+00
1.969696969696969546e+01 0.000000000000000000e+00
2.121212121212121104e+01 0.000000000000000000e+00
2.272727272727272663e+01 0.000000000000000000e+00
2.424242424242424221e+01 0.000000000000000000e+00
2.575757575757575779e+01 0.000000000000000000e+00
2.727272727272727337e+01 0.000000000000000000e+00
2.878787878787878896e+01 0.000000000000000000e+00
3.030303030303030454e+01 0.000000000000000000e+00
3.181818181818181657e+01 0.000000000000000000e+00
3.333333333333333570e+01 0.000000000000000000e+00
3.484848484848485128e+01 0.000000000000000000e+00
3.636363636363635976e+01 0.000000000000000000e+00
3.787878787878787534e+01 0.000000000000000000e+00
3.939393939393939092e+01 1.794735927038142935e-304
4.090909090909090651e+01 8.968388261866128281e-273
4.242424242424242209e+01 1.045117330916152697e-242
4.393939393939393767e+01 2.311889397586627365e-214
4.545454545454545325e+01 8.132027759147249530e-188
4.696969696969696884e+01 3.928351064435289776e-163
4.848484848484848442e+01 2.326161503728282519e-140
5.000000000000000000e+01 1.561910116693749255e-119
5.151515151515151558e+01 1.144047911345310090e-100
5.303030303030303116e+01 9.181650536162277729e-84
5.454545454545454675e+01 8.503828831779814498e-69
5.606060606060606233e+01 1.008260421618663588e-55
5.757575757575757791e+01 1.794878440219337752e-44
5.909090909090909349e+01 5.963035251308550739e-35
6.060606060606060908e+01 4.868577279742216991e-27
6.212121212121211755e+01 1.356850169174914771e-20
6.363636363636363313e+01 1.873102640180749258e-15
6.515151515151515582e+01 1.913286837449876259e-11
6.666666666666667140e+01 2.181804983841955487e-08
6.818181818181818699e+01 4.146543610224228717e-06
6.969696969696970257e+01 1.903506521961994906e-04
7.121212121212121815e+01 2.927533801391895944e-03
7.272727272727271952e+01 1.986360146022324302e-02
7.424242424242423510e+01 7.421976205495041390e-02
7.575757575757575069e+01 1.813402896533591602e-01
7.727272727272726627e+01 3.294787836713642948e-01
7.878787878787878185e+01 4.887497511375688553e-01
8.030303030303029743e+01 6.324044082278104106e-01
8.181818181818181301e+01 7.472245743157582831e-01
8.333333333333332860e+01 8.317425552152194479e-01
8.484848484848484418e+01 8.905753870112318449e-01
8.636363636363635976e+01 9.300051830955252674e-01
8.787878787878787534e+01 9.557561007030057620e-01
8.939393939393939092e+01 9.722752860355726723e-01
9.090909090909090651e+01 9.827397508981138285e-01
9.242424242424242209e+01 9.893086698370709975e-01
9.393939393939393767e+01 9.934043771469950324e-01
9.545454545454545325e+01 9.959447654296461616e-01
9.696969696969696884e+01 9.975139128976471259e-01
9.848484848484848442e+01 9.984798162624080042e-01
1.000000000000000000e+02 9.990726451933028551e-01
1.015151515151515156e+02 9.994355673722823408e-01
1.030303030303030312e+02 9.996572198781437102e-01
1.045454545454545467e+02 9.997923047124556151e-01
1.060606060606060623e+02 9.998744603218859828e-01
1.075757575757575779e+02 9.999243226980993882e-01
1.090909090909090935e+02 9.999545174484687493e-01
1.106060606060606091e+02 9.999727571786845015e-01
1.121212121212121247e+02 9.999837424368704930e-01
1.136363636363636402e+02 9.999903368246757518e-01
1.151515151515151558e+02 9.999942785101646470e-01
1.166666666666666714e+02 9.999966245886763305e-01
1.181818181818181870e+02 9.999980149103777638e-01
1.196969696969697026e+02 9.999988354828373005e-01
1.212121212121212182e+02 9.999993179589712344e-01
1.227272727272727195e+02 9.999996021683603686e-01
1.242424242424242351e+02 9.999997677339286239e-01
1.257575757575757507e+02 9.999998650127659428e-01
1.272727272727272663e+02 9.999999216858278528e-01
1.287878787878787818e+02 9.999999548837379404e-01
1.303030303030303116e+02 9.999999738951270700e-01
1.318181818181818130e+02 9.999999850554980307e-01
1.333333333333333428e+02 9.999999914900781217e-01
1.348484848484848442e+02 9.999999951160617462e-01
1.363636363636363740e+02 9.999999972327061615e-01
1.378787878787878753e+02 9.999999984358941552e-01
1.393939393939394051e+02 9.999999991086157003e-01
1.409090909090909065e+02 9.999999995030366406e-01
1.424242424242424363e+02 9.999999997205680780e-01
1.439393939393939377e+02 9.999999998422737235e-01
1.454545454545454390e+02 9.999999999101056858e-01
1.469696969696969688e+02 9.999999999511202109e-01
1.484848484848484702e+02 9.999999999724571431e-01
1.500000000000000000e+02 9.999999999846346244e-01
