# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.0
# ============================================================
# b  pD0  dsigma_dy
8  8.7  0.305708
8  8.9  0.279028
8  9.1  0.255271
8  9.3  0.233965
8  9.5  0.214733
8  9.7  0.197517
8  9.9  0.182039
8  10.1  0.168022
8  10.3  0.155364
8  10.5  0.143787
8  10.7  0.133288
8  10.9  0.123753
8  11.1  0.115059
8  11.3  0.107068
8  11.5  0.0997857
8  11.7  0.09301
8  11.9  0.0868718
10  0.1  1094.86
10  0.3  867.89
10  0.5  689.681
10  0.7  541.609
10  0.9  421.225
10  1.1  325.341
10  1.3  249.699
10  1.5  190.842
10  1.7  145.28
10  1.9  110.484
10  2.1  84.0357
10  2.3  64.1174
10  2.5  49.1761
10  2.7  37.9091
10  2.9  29.4386
10  3.1  23.0407
10  3.3  18.1822
10  3.5  14.46
10  3.7  11.5874
10  3.9  9.35935
10  4.1  7.61587
10  4.3  6.23973
10  4.5  5.14583
10  4.7  4.27167
10  4.9  3.57002
10  5.1  2.99859
10  5.3  2.53217
10  5.5  2.14879
10  5.7  1.83229
10  5.9  1.57021
10  6.1  1.35218
10  6.3  1.16877
10  6.5  1.01365
10  6.7  0.882543
10  6.9  0.771124
10  7.1  0.675896
10  7.3  0.60475
10  7.5  0.543018
10  7.7  0.488777
10  7.9  0.441056
10  8.1  0.399149
10  8.3  0.362139
10  8.5  0.32915
10  8.7  0.299791
10  8.9  0.273804
10  9.1  0.250509
10  9.3  0.229637
10  9.5  0.210751
10  9.7  0.193831
10  9.9  0.178611
10  10.1  0.164956
10  10.3  0.152423
10  10.5  0.141104
10  10.7  0.130845
10  10.9  0.121446
10  11.1  0.112937
10  11.3  0.105088
10  11.5  0.0979364
10  11.7  0.0913845
10  11.9  0.0853187
12  0.1  1078.46
12  0.3  854.52
12  0.5  679.147
12  0.7  533.134
12  0.9  414.579
12  1.1  319.859
12  1.3  245.363
12  1.5  187.307
12  1.7  142.452
12  1.9  108.22
12  2.1  82.2778
12  2.3  62.7139
12  2.5  48.0811
12  2.7  37.0599
12  2.9  28.7606
12  3.1  22.5139
12  3.3  17.7524
12  3.5  14.113
12  3.7  11.3072
12  3.9  9.13434
12  4.1  7.43408
12  4.3  6.09091
12  4.5  5.02312
12  4.7  4.17152
12  4.9  3.48484
12  5.1  2.92708
12  5.3  2.47095
12  5.5  2.09723
12  5.7  1.78825
12  5.9  1.53287
12  6.1  1.31949
12  6.3  1.14065
12  6.5  0.989474
12  6.7  0.86136
12  6.9  0.752669
12  7.1  0.659647
12  7.3  0.590401
12  7.5  0.530077
12  7.7  0.477028
12  7.9  0.430589
12  8.1  0.389716
12  8.3  0.353587
12  8.5  0.321315
12  8.7  0.292716
12  8.9  0.267314
12  9.1  0.24461
12  9.3  0.224247
12  9.5  0.205728
12  9.7  0.189274
12  9.9  0.174386
12  10.1  0.160953
12  10.3  0.148833
12  10.5  0.137843
12  10.7  0.127794
12  10.9  0.118623
12  11.1  0.110215
12  11.3  0.102644
12  11.5  0.0956715
12  11.7  0.0892373
12  11.9  0.0833192
14  0.1  1057.76
14  0.3  838.322
14  0.5  666.287
14  0.7  522.817
14  0.9  406.182
14  1.1  313.23
14  1.3  239.967
14  1.5  182.858
14  1.7  138.931
14  1.9  105.448
14  2.1  80.0915
14  2.3  61.0024
14  2.5  46.7408
14  2.7  35.9912
14  2.9  27.9457
14  3.1  21.8639
14  3.3  17.232
14  3.5  13.697
14  3.7  10.9754
14  3.9  8.86606
14  4.1  7.21147
14  4.3  5.91039
14  4.5  4.87229
14  4.7  4.04648
14  4.9  3.38046
14  5.1  2.83869
14  5.3  2.39787
14  5.5  2.03433
14  5.7  1.73501
14  5.9  1.48695
14  6.1  1.2801
14  6.3  1.10638
14  6.5  0.95983
14  6.7  0.83538
14  6.9  0.73005
14  7.1  0.639713
14  7.3  0.572762
14  7.5  0.513875
14  7.7  0.46267
14  7.9  0.417672
14  8.1  0.377842
14  8.3  0.342761
14  8.5  0.311761
14  8.7  0.284089
14  8.9  0.259314
14  9.1  0.237283
14  9.3  0.217528
14  9.5  0.199589
14  9.7  0.183636
14  9.9  0.169228
14  10.1  0.156275
14  10.3  0.144375
14  10.5  0.133666
14  10.7  0.123959
14  10.9  0.115026
14  11.1  0.106946
14  11.3  0.0995394
14  11.5  0.0928062
14  11.7  0.0865437
14  11.9  0.0807593
16  0.1  1033.51
16  0.3  818.209
16  0.5  650.418
16  0.7  510.07
16  0.9  395.988
16  1.1  304.985
16  1.3  233.402
16  1.5  177.557
16  1.7  134.712
16  1.9  102.098
16  2.1  77.4451
16  2.3  58.9753
16  2.5  45.123
16  2.7  34.7302
16  2.9  26.9521
16  3.1  21.0797
16  3.3  16.6102
16  3.5  13.2082
16  3.7  10.5787
16  3.9  8.54292
16  4.1  6.94732
16  4.3  5.69365
16  4.5  4.69661
16  4.7  3.89747
16  4.9  3.25596
16  5.1  2.73379
16  5.3  2.30935
16  5.5  1.95951
16  5.7  1.6711
16  5.9  1.43213
16  6.1  1.23264
16  6.3  1.06527
16  6.5  0.924224
16  6.7  0.804663
16  6.9  0.702855
16  7.1  0.616165
16  7.3  0.55136
16  7.5  0.494833
16  7.7  0.445556
16  7.9  0.402286
16  8.1  0.363841
16  8.3  0.330035
16  8.5  0.300084
16  8.7  0.273505
16  8.9  0.249699
16  9.1  0.228521
16  9.3  0.209492
16  9.5  0.192414
16  9.7  0.176882
16  9.9  0.162992
16  10.1  0.150446
16  10.3  0.13907
16  10.5  0.128732
16  10.7  0.119436
16  10.9  0.110827
16  11.1  0.103039
16  11.3  0.0959582
16  11.5  0.0893793
16  11.7  0.0833271
16  11.9  0.0778756
18  0.1  1002.82
18  0.3  794.282
18  0.5  631.114
18  0.7  494.613
18  0.9  383.609
18  1.1  295.074
18  1.3  225.381
18  1.5  171.149
18  1.7  129.632
18  1.9  98.0723
18  2.1  74.3111
18  2.3  56.5023
18  2.5  43.1968
18  2.7  33.2223
18  2.9  25.756
18  3.1  20.144
18  3.3  15.8691
18  3.5  12.6083
18  3.7  10.0998
18  3.9  8.15461
18  4.1  6.63424
18  4.3  5.43516
18  4.5  4.48195
18  4.7  3.71943
18  4.9  3.10799
18  5.1  2.61001
18  5.3  2.20401
18  5.5  1.87013
18  5.7  1.59474
18  5.9  1.36661
18  6.1  1.1762
18  6.3  1.0167
18  6.5  0.88199
18  6.7  0.767688
18  6.9  0.67049
18  7.1  0.587535
18  7.3  0.526031
18  7.5  0.472232
18  7.7  0.425232
18  7.9  0.383746
18  8.1  0.347402
18  8.3  0.314919
18  8.5  0.286508
18  8.7  0.26095
18  8.9  0.238221
18  9.1  0.218041
18  9.3  0.199902
18  9.5  0.183438
18  9.7  0.16875
18  9.9  0.155486
18  10.1  0.143511
18  10.3  0.132669
18  10.5  0.122822
18  10.7  0.113882
18  10.9  0.10576
18  11.1  0.0982871
18  11.3  0.0914773
18  11.5  0.0852592
18  11.7  0.0794649
18  11.9  0.0742206
20  0.1  966.423
20  0.3  764.908
20  0.5  607.386
20  0.7  475.88
20  0.9  368.465
20  1.1  282.951
20  1.3  215.704
20  1.5  163.405
20  1.7  123.482
20  1.9  93.2688
20  2.1  70.5245
20  2.3  53.5531
20  2.5  40.8797
20  2.7  31.4446
20  2.9  24.3643
20  3.1  19.0242
20  3.3  14.9989
20  3.5  11.9126
20  3.7  9.54112
20  3.9  7.70318
20  4.1  6.26482
20  4.3  5.13079
20  4.5  4.22924
20  4.7  3.51016
20  4.9  2.93115
20  5.1  2.46167
20  5.3  2.0788
20  5.5  1.76484
20  5.7  1.50405
20  5.9  1.28925
20  6.1  1.10922
20  6.3  0.958736
20  6.5  0.831683
20  6.7  0.723973
20  6.9  0.632456
20  7.1  0.554231
20  7.3  0.496237
